Scientific name,Authority,Year,CommonName,TypeLoc
"Cephaloscyllium stevensi  Clark & Randall, 2011","Clark & Randall, 2011",2011,Steven's Swellshark,Papua New Guinea
"Gollum suluensis  Last & Gaudiano, 2011","Last & Gaudiano, 2011",2011,Sulu Gollumshark,Philippines
"Iago mangalorensis  (Cubelio, Kurup & Kurup, 2011)","(Cubelio, Kurup & Kurup, 2011)",2011,,"Mangalore, India"
"Platyrhina hyugaensis  Iwatsuki, Miyamoto & Nakaya, 2011","Iwatsuki, Miyamoto & Nakaya, 2011",2011,Hyuga Fanray,"Miyazaki, Japan"
"Platyrhina tangi  Iwatsuki, Zhang & Nakaya, 2011","Iwatsuki, Zhang & Nakaya, 2011",2011,Yellowspotted Fanray,"Miyazaki, Japan"
"Bathyraja panthera  Orr, Stevenson, Hoff, Spies & McEachran, 2011","Orr, Stevenson, Hoff, Spies & McEachran, 2011",2011,Panther Skate,
"Heliotrygon gomesi  de Carvalho & Lovejoy, 2011","de Carvalho & Lovejoy, 2011",2011,Gomes�s Round Ray,"Amazon River, Brazil"
"Heliotrygon rosai  de Carvalho & Lovejoy, 2011","de Carvalho & Lovejoy, 2011",2011,Rosa�s Round Ray,"Amazon River, Brazil"
"Plesiotrygon nana  de Carvalho & Ragno, 2011","de Carvalho & Ragno, 2011",2011,Dwarf Antenna Ray,Peru
"Potamotrygon tatianae  Silva & de Carvalho, 2011","Silva & de Carvalho, 2011",2011,Tatiana's Freshwater Stingray,Peru
"Potamotrygon tigrina  de Carvalho, Sabaj-Perez & Lovejoy, 2011","de Carvalho, Sabaj-Perez & Lovejoy, 2011",2011,Tiger Freshwater Stingray,Peru
"Chimaera opalescens Luchetti, Iglesias & Sellos, 2011","Luchetti, Iglesias & Sellos, 2011",2011,Opal Chimaera,
"Bythaelurus giddingsi  McCosker, Long & Baldwin, 2012","McCosker, Long & Baldwin, 2012",2012,Jaguar Catshark,Galapagos Islands
"Bathyraja leucomelanos  Igl�sias & L�vy-Hartmann, 2012","Igl�sias & L�vy-Hartmann, 2012",2012,Domino Skate,New Caledonia
"Brochiraja heuresa  Last & S�ret, 2012","Last & S�ret, 2012",2012,Eureka Skate,Norfolk Ridge
"Brochiraja vittacauda  Last & S�ret, 2012","Last & S�ret, 2012",2012,Ribbontail Skate,Norfolk Ridge
"Notoraja alisae  S�ret & Last, 2012","S�ret & Last, 2012",2012,Alis' Velvet Skate,Norfolk Ridge
"Notoraja fijiensis  S�ret & Last, 2012","S�ret & Last, 2012",2012,Fijian Velvet Skate,Fiji
"Notoraja inusitata  S�ret & Last, 2012","S�ret & Last, 2012",2012,Strange Skate,"Espiritu Santo, Vanuatu"
"Notoraja longiventralis  S�ret & Last, 2012","S�ret & Last, 2012",2012,Longlobe Velvet Skate,Fiji
"Maculabatis randalli  (Last, Manjaji-Matsumoto & Moore, 2012)","(Last, Manjaji-Matsumoto & Moore, 2012)",2012,Arabian Banded Whipray,Kuwait
"Myliobatis ridens  Ruocco, Lucifora, D�az de Astarloa, Mabraga�a & Delpiani, 2012","Ruocco, Lucifora, D�az de Astarloa, Mabraga�a & Delpiani, 2012",2012,Shortnose Eagle Ray,"Bah�a Samboromb�n, San Clemente del Tuy�, Argentina"
"Pristiophorus lanae  Ebert & Wilms, 2013","Ebert & Wilms, 2013",2013,Philippine Sawshark,Philippines
"Hemiscyllium halmahera  Allen, Erdmann & Dudgeon, 2013","Allen, Erdmann & Dudgeon, 2013",2013,Halmahera Epaulette Shark,"Halmahera, Indonesia"
"Apristurus garricki  Sato, Stewart & Nakaya, 2013","Sato, Stewart & Nakaya",2013,Garrick's Catshark,"North Island, New Zealand"
"Apristurus nakayai  Igl�sias, 2013","Igl�sias, 2013",2013,Milk-eye Catshark,New Caledonia
"Planonasus parini  Weigmann, Stehmann & Thiel, 2013","Weigmann, Stehmann & Thiel, 2013",2013,Pygmy False Catshark,Socotra Islands
"Sphyrna gilberti  Quattro, Driggers, Grady, Ulrich & Roberts, 2013","Quattro, Driggers, Grady, Ulrich & Roberts, 2013",2013,Carolina Hammerhead,"South Carolina, USA"
"Rhynchobatus immaculatus  Last, Ho & Chen, 2013","Last, Ho & Chen, 2013",2013,Taiwanese Wedgefish,Taiwan
"Dipturus amphispinus  Last & Alava, 2013","Last & Alava, 2013",2013,Ridgeback Skate,"Zamboanga, Philippines"
"Brevitrygon javaensis  (Last & White, 2013)","(Last & White, 2013)",2013,Javan Whipray,"Java, Indonesia"
"Hemitrygon longicauda (Last & White, 2013)","(Last & White, 2013)",2013,Merauke Stingray,"Merauke, Indonesia"
"Potamotrygon amandae  Loboda & de Carvalho, 2013 ","Loboda & de Carvalho, 2013",2013,Amanda's Freshwater Stingray,Brazil
"Potamotrygon patanensis  Loboda & de Carvalho, 2013 ","Loboda & de Carvalho, 2013",2013,Patanal Freshwater Stingray,Brazil
"Aetobatus narutobiei  White, Furumitsu & Yamaguchi, 2013","White, Furumitsu & Yamaguchi, 2013",2013,Naru Eagle Ray,"Ariake Bay, Japan"
"Apristurus breviventralis  Kawauchi, Weigmann & Nakaya, 2014","Kawauchi, Weigmann & Nakaya, 2014",2014,Shortbelly Catshark,Gulf of Aden
"Carcharhinus humani  White & Weigmann, 2014","White & Weigmann, 2014",2014,Human's Shark,Socotra Islands
"Rhinobatos whitei  Last, Corrigan & Naylor, 2014","Last, Corrigan & Naylor, 2014",2014,Philippine Guitarfish,Philippines
"Rajella paucispinosa  Weigmann, Stehmann & Thiel, 2014","Weigmann, Stehmann & Thiel, 2014 ",2014,Sparsethorn Skate,Mozambique
"Potamotrygon limai  Fontenelle, Silva & de Carvalho, 2014","Fontenelle, Silva & de Carvalho, 2014",2014,Madeira Freshwater Stingray,"Rond�nia, Brazil"
"Chimaera carophila Kemper, Ebert, Naylor & Didier, 2014","Kemper, Ebert, Naylor & Didier, 2014",2014,Brown Chimaera,New Zealand
"Chimaera orientalis Angulo, Lopez, Bussing & Murase, 2014","Angulo, Lopez, Bussing & Murase, 2014",2014,Eastern Pacific Black Chimaera,Costa Rica
"Etmopterus benchleyi  Vasquez, Ebert & Long, 2015","Vasquez, Ebert & Long, 2015",2015,Ninja Lanternshark,Costa Rica
"Ginglymostoma unami  Del Moral-Flores, Ramirez-Antonio, Angulo & Perez-Ponce de Leon, 2015","Del Moral-Flores, Ramirez-Antonio, Angulo & Perez-Ponce de Leon, 2015",2015,Pacific Nurse Shark,Mexico
"Bythaelurus naylori  Ebert & Clerkin, 2015","Ebert & Clerkin, 2015",2015,Dusky Snout Catshark,Southwest Indian Ridge
"Bythaelurus tenuicephalus  Kaschner, Weigmann & Thiel, 2015","Kaschner, Weigmann & Thiel, 2015",2015,Narrowhead Catshark,north Tanzania
"Atelomycterus erdmanni  Fahmi & White, 2015","Fahmi & White, 2015",2015,Spotted-belly Catshark,"Sulawesi, Indonesia"
"Scyliorhinus ugoi  Soares, Gadig & Gomes, 2015","Soares, Gadig & Gomes, 2015",2015,Ugo's Catshark,Brazil
"Tetronarce cowleyi  Ebert, Haas & de Carvalho, 2015","Ebert, Haas & de Carvalho, 2015",2015,South African Torpedo,South Africa
"Okamejei ornata  Weigmann, Stehmann & Thiel, 2015","Weigmann, Stehmann & Thiel, 2015",2015,Ornate Skate,Socotra Islands
"Urobatis pardalis  Moral-Flores, Angulo, Lopez & Bussing, 2015","Moral-Flores, Angulo, Lopez & Bussing, 2015",2015,Leopard Round Ray,Costa Rica
"Aetomylaeus caeruleofasciatus White, Last & Baje, 2015","White, Last & Baje, 2015",2015,Bluebanded Eagle Ray,Western Australia
"Squalus albicaudus Viana, de Carvalho & Gomes, 2016","Viana, de Carvalho & Gomes, 2016",2016,Brazilian Whitetail Dogfish,Brazil
"Squalus bahiensis Viana, de Carvalho & Gomes, 2016","Viana, de Carvalho & Gomes, 2016",2016,Northeastern Brazilian Dogfish,Brazil
"Squalus lobularis Viana, de Carvalho & Gomes, 2016","Viana, de Carvalho & Gomes, 2016",2016,Atlantic Lobefin Dogfish,Argentina
"Squalus quasimodo Viana, de Carvalho & Gomes, 2016","Viana, de Carvalho & Gomes, 2016",2016,Humpback Western Dogfish,Brazil
"Etmopterus alphus Ebert, Straube, Leslie & Weigmann, 2016","Ebert, Straube, Leslie & Weigmann, 2016",2016,Whitecheek Lanternshark,Mozambique
"Squatina david  Acero, Tavera, Anguila & Hernandez, 2016","Acero, Tavera, Anguila & Hernandez, 2016",2016,David's Angelshark,Colombian Caribbean
